Date,Rate
1971-01-01,0.8933357155619082
1971-02-01,0.8888888888888888
1971-03-01,0.888572951839346
1971-04-01,0.8888888888888888
1971-05-01,0.888572951839346
1971-06-01,0.8884940026654821
1971-07-01,0.888651915044877
1971-08-01,0.8827683615819208
1971-09-01,0.8703220191470844
1971-10-01,0.8629616845012081
1971-11-01,0.8619946556331352
1971-12-01,0.8524422470377632
1972-01-01,0.8378016085790885
1972-02-01,0.8375910880308234
1972-03-01,0.8383635144198524
1972-04-01,0.8377314233056882
1972-05-01,0.8374507997655138
1972-06-01,0.8394191219675984
1972-07-01,0.8381527114240214
1972-08-01,0.8371703641691085
1972-09-01,0.8380122349786306
1972-10-01,0.8388558006878618
1972-11-01,0.8371703641691085
1972-12-01,0.8366100560528738
1973-01-01,0.8366800535475234
1973-02-01,0.7882084023015685
1973-03-01,0.7563724377883669
1973-04-01,0.7519362358072035
1973-05-01,0.7556294393229561
1973-06-01,0.755287009063444
1973-07-01,0.7406310176270182
1973-08-01,0.7389344565137073
1973-09-01,0.6893223960846487
1973-10-01,0.6727664155005383
1973-11-01,0.6768647624204683
1973-12-01,0.6928086462519052
1974-01-01,0.719010641357492
1974-02-01,0.7127075760815338
1974-03-01,0.697350069735007
1974-04-01,0.68903741473162
1974-05-01,0.684603272403642
1974-06-01,0.6882786151834263
1974-07-01,0.6889424733034791
1974-08-01,0.6957489737702637
1974-09-01,0.7161271841879118
1974-10-01,0.7695267410542516
1974-11-01,0.7667535654040791
1974-12-01,0.7659313725490196
1975-01-01,0.7591861524445794
1975-02-01,0.7501875468867217
1975-03-01,0.7445461990916536
1975-04-01,0.7538067239559777
1975-05-01,0.7595321282090233
1975-06-01,0.7641754546843955
1975-07-01,0.7829014327096218
1975-08-01,0.894534394847482
1975-09-01,0.9478672985781991
1975-10-01,0.9547450830628221
1975-11-01,0.954653937947494
1975-12-01,0.9636696540425941
1976-01-01,0.9609840476648088
1976-02-01,0.9592326139088729
1976-03-01,0.9763718023823472
1976-04-01,0.9981036031540074
1976-05-01,1.00664384940608
1976-06-01,1.0194719135487817
1976-07-01,1.0095911155981827
1976-08-01,1.0034115994380894
1976-09-01,1.0114291493880854
1976-10-01,1.0364842454394694
1976-11-01,1.048327916972429
1976-12-01,1.0848340203948796
1977-01-01,1.054407423028258
1977-02-01,1.0505305179115454
1977-03-01,1.0450412791305257
1977-04-01,1.040257983980027
1977-05-01,1.0416666666666667
1977-06-01,1.0388531061707875
1977-07-01,1.029230135858378
1977-08-01,1.0327377878756583
1977-09-01,1.0329511414110113
1977-10-01,1.0188487009679061
1977-11-01,1.006137438374082
1977-12-01,0.9941346058256287
1978-01-01,0.9808729769494849
1978-02-01,0.9797198001371609
1978-03-01,0.9784735812133072
1978-04-01,0.9811616954474096
1978-05-01,0.9931472837421791
1978-06-01,0.9813542688910698
